Year,Month,F.L(cm),B.W(g),Mat.
2008,3,32.5,478.1,1
2008,3,29.7,339.8,1
2008,4,29,301,1
2008,4,29.2,304.5,1
2008,4,29.1,322.7,1
2008,4,27.7,286.2,1
2008,4,29.6,336.4,1
2008,4,28.6,310.2,1
2008,4,28,275.1,1
2008,4,29.7,344.8,1
2008,4,29.6,329.5,1
2008,4,28.8,312.9,1
2008,4,29.9,343.2,1
2008,4,31,412.1,1
2008,4,28.1,304.1,1
2008,4,30.1,384.8,1
2008,4,29.3,311.5,1
2008,5,24.2,168.7,1
2008,5,21.4,119.2,1
2008,5,22.4,125.7,1
2008,5,23.2,143.8,1
2008,5,26,215.7,1
2008,5,22,127.6,1
2008,5,23,157.7,1
2008,5,23.1,152.4,1
2008,5,23.2,148,1
2008,5,25.7,199.5,1
2008,5,22.3,123.6,1
2008,5,26.5,251.2,1
2008,5,23.3,159.2,1
2008,5,22.4,135.2,1
2008,5,25.8,219.5,1
2008,5,21.9,134.3,1
2008,5,24.7,200.1,1
2008,5,27.1,232.5,1
2008,5,23.5,159.7,1
2008,5,23,153.6,1
2008,5,23.2,153.6,1
2008,6,32.4,510.8,1
2008,6,32.5,539.3,1
2008,6,33,555.5,1
2008,6,33.6,573.8,1
2008,6,33.7,544.4,1
2008,6,33.6,554.9,1
2008,6,34.7,632.1,1
2008,6,32.2,477.9,1
2008,6,34.8,591.9,1
2008,6,33,532.3,1
2008,6,33.6,559.4,1
2008,6,32.2,461.5,1
2008,6,33.2,512.3,1
2008,6,32.5,460.3,1
2008,6,33,540,1
2008,6,32.3,474,1
2008,6,32.3,486,1
2008,6,32.8,470.8,1
2008,6,34,520.2,1
2008,6,31.6,470.2,1
2008,6,32,491.3,1
2008,7,33.7,559.4,1
2008,7,34.3,585,1
2008,7,34.5,623.6,1
2008,7,34.5,615.6,1
2008,7,33.4,546.2,1
2008,7,32.2,518.2,1
2008,7,33.1,565.2,1
2008,7,31.3,475.7,1
2008,7,33.3,517.1,1
2008,7,32.3,485.6,1
2008,7,32.7,500.7,1
2008,7,32.2,500.1,1
2008,7,32.7,498.3,1
2008,7,32.4,490.3,1
2008,7,32.8,519,1
2008,7,32.5,494.5,1
2008,7,32.2,468.2,1
2008,7,33.3,526,1
2008,7,32.4,458.7,1
2008,7,32.9,505.9,1
2008,7,31.2,462.9,1
2008,7,31.3,472,1
2008,7,30.3,418.3,1
2008,7,31.5,447.5,1
2008,7,31.3,433.7,1
2008,7,31.7,491.6,1
2008,7,31.9,495.4,1
2008,7,30.6,444.4,1
2008,7,30.5,434.1,1
2008,7,30.5,435.9,1
2008,7,30.4,444.2,1
2008,7,29.7,413.3,1
2008,7,30.5,457.9,1
