length(cm),weight(g)
34.2,521.1
34.6,549.2
34.1,553.4
29.7,358.6
30.6,387.1
29.3,362.4
29.6,379.3
30.4,407.5
30.5,409.3
29.6,360.6
30.7,385.9
29.5,372.6
30.2,391.3
29.6,369.4
30.5,382.6
29.9,357.2
35.3,674.9
32.4,502.5
31.3,463
33.2,519.2
33.6,582.5
32.7,517.7
34,599.4
34.4,612.6
35.2,633.6
32.6,518.3
33.5,529.6
35,672.8
34.3,598.2
34,558
35.9,730.9
31.1,502.7
34.4,574.2
33.7,596
35.2,638.6
34.3,611.6
30.8,408.4
30.8,426.7
31.7,447.3
30.7,399.4
32.6,499.6
32.8,505.2
30.7,444.7
31.9,463.1
31.6,454.7
32,514.7
31.9,475.9
33.2,493.6
31.5,439.4
32.6,476.5
30.4,411.5
31.8,474.5
32.2,493.9
30.5,387.4
31.1,415
30.5,430.1
33.6,536.3
35.3,655.2
33.2,540.8
32.7,576.2
34.4,582.2
35.3,725.6
33.1,553.9
34.1,551.1
33.2,518.2
34.9,642.1
35.5,701.4
33.7,556.3
32.4,519.2
34.6,638.3
34.3,619.3
33.8,573.5
33.5,529.2
34.1,619.3
33.7,542
34.5,623.5
30,376.3
29.2,343.5
28.5,320.6
31.4,415.5
30.7,396.4
29.3,320.5
29,324.7
29.8,349.5
30.2,378.8
31.1,429
30.2,394.1
29.8,386.9
30.1,379.1
30.4,400.4
30.3,403.3
30.6,399
30.5,390.3
31.1,438.7
29.9,370.7
29.7,380.7
35.4,645.1
32.5,492.7
34.9,578.7
34.1,543.2
33.9,592.2
36.5,667.3
34.8,546.7
34.9,550.8
35.2,614.3
35.4,625.5
32.4,428.6
33.4,482.1
34,485.1
33.5,483.8
33.9,486.9
33.3,482.9
34,471.1
34,503.1
33.5,501
31.5,431.3
29.5,299.9
31.3,409
28.7,279.2
31.1,424
30.2,360
29.5,298.3
28.7,276.4
28.8,258.5
30.1,439.5
31.3,407.3
29.9,329.6
31.1,398.3
32,384.2
31.4,369.3
31.4,367
32.5,425.1
29.5,313.3
28.4,304.4
28.1,270.4
28,292
41.2,1069.3
38.3,760.4
40.8,907
38.5,762.3
38.8,805.6
40.8,1012.3
38,737.6
36.6,605.7
37.3,713.5
39.6,866.1
38,751.4
41.3,1075
40.7,1015.7
39.1,834.3
38,749
37.9,743.8
37.5,801.2
40.3,990.1
38.8,887.1
37.8,737.1
39,790.2
42.8,1126.3
41.4,1078.7
42.2,1140.6
42.5,1154.8
39,799.8
43.8,1023.5
38.3,725
38.3,724.1
38.3,789.2
41.1,1138.2
40.7,985.2
40.1,1165.6
37.1,702.2
41.2,1010.5
40.1,997.4
35.8,574.4
40.7,955.7
38.9,818.2
38.2,779.7
30.2,309.4
30.1,319.7
31.7,459.4
30.3,351.7
31.5,375.4
32.1,408.9
30.6,346
29.9,303.7
28.5,259.8
30.3,328.3
30.7,356.3
31.3,414.4
32.3,416
31.3,427.6
30.4,316.5
29.3,338.5
28.6,266.8
30.5,327.9
29,328.2
29.9,328.8
35.4,599.9
32,399.3
37.7,757.4
37.5,750.4
36.4,638
38.6,781.6
35.4,576.1
34.9,577.2
35,540.5
33.2,496.4
32.8,490.2
39,779.4
35.6,612.8
35.5,499.9
34.2,499.6
36.9,684.4
35.1,567.2
35.5,634.9
37.6,736.1
35.8,627.8
33.2,505.6
36.6,623.9
36.4,730.6
38.1,775.2
34.5,573.4
35,621.9
35,619.9
36.2,697.7
36.2,647.7
36.1,615.4
35.5,606.7
34.8,581.6
36.2,619.9
36.3,686.1
35,649.1
34.6,622.1
36.9,709.3
32.6,514.2
33.6,572.1
